horizon,horizon_days,model,n,RMSE_return,MAE_return,Directional_Accuracy_pct,Balanced_Accuracy_pct,F1_positive,MCC_direction,DA_coverage_pct,AlwaysUp_accuracy_same_coverage_pct,DA_excess_vs_AlwaysUp_pp,McNemar_exact_p_vs_AlwaysUp,Price_RMSE,Price_MAE,Price_MAPE_pct,Skill_vs_HistoricalMean,Skill_vs_ZeroReturn
36M,1095,Random Walk with Drift,1572,155.08630282012155,142.95883128636484,99.68193384223919,50.0,0.9984071360305831,,100.0,99.68193384223919,0.0,,188510.06700727987,124467.47535907335,393.0946505055886,0.0,-0.1869905130652072
36M,1095,VS-LSTM,1572,114.90814745196231,98.55480406250804,99.68193384223919,50.0,0.9984071360305831,,100.0,99.68193384223919,0.0,,50625.65389971275,37059.71250300811,136.86715017330835,0.45102222769286826,0.3483685923877633
36M,1095,Zero Return,1572,142.3474916749391,125.84155670846987,,,,,0.0,,,,25125.049591786283,20594.012558524173,65.14017366032121,0.15753328354944895,0.0
3M,90,ARIMA,3582,44.49084364802041,34.14213619631006,64.19994414967886,60.290148643864164,0.7298777918246945,0.2293206392263309,99.97208263539922,59.03378944428931,5.166154705389545,2.0813025040839274e-09,13989.639565849993,6615.906609089741,39.01660353353403,-0.06284451349290654,-0.08455356901078326
3M,90,Adaptive Ensemble,3582,34.95789631804198,26.51709208335572,64.59089639765429,56.83470601095433,0.7688662048851621,0.2867480389929366,99.97208263539922,59.03378944428931,5.557106953364979,7.889506006069264e-54,7192.273748559357,4035.454070463324,28.635540281557724,0.3438259776828748,0.3304233415502793
3M,90,GLS,3582,2125.6957394731717,631.5075744072956,62.021781625244344,55.07598900826057,0.7440722619495672,0.16191263478305404,99.97208263539922,59.03378944428931,2.9879921809550325,4.619409209017905e-08,1.4448355684954354e+23,1.7063616964961763e+22,6.661878005366876e+21,-2425.2226742044218,-2474.779314018028
3M,90,GLS-LSTM,3582,1815.000474161403,329.1443297933486,42.64172018989109,43.97114958606853,0.4297612437534703,-0.12032225780526996,99.97208263539922,59.03378944428931,-16.392069254398223,4.831502655813108e-38,1.0271036785950005e+23,8.570145564500136e+21,3.610584215843613e+21,-1767.8130697741337,-1803.9418361599885
3M,90,Historical Mean,3582,43.15546232129752,34.61390380324904,59.03378944428931,50.0,0.7424056189640036,,99.97208263539922,59.03378944428931,0.0,,10291.827347597904,5763.034751207349,39.07234664456162,0.0,-0.020425429347640467
3M,90,Historical Median,3582,42.58198741018529,34.24615224814719,59.03378944428931,50.0,0.7424056189640036,,99.97208263539922,59.03378944428931,0.0,,9987.650119621028,5640.276968791729,36.69328237690268,0.026400578105512995,0.0065143919007034645
3M,90,LSTM,3582,44.720013444348496,35.05799053883242,57.693381736944986,52.32790904793505,0.6959662853702588,0.05736649043332971,99.97208263539922,59.03378944428931,-1.3404077073443261,0.07809746751106691,8851.829245284609,5086.346848869897,34.94206512650593,-0.07382201596482263,-0.0957552916838531
3M,90,Majority Direction,3582,56.89627559182314,47.1412806141317,59.03378944428931,50.0,0.7424056189640036,,99.97208263539922,59.03378944428931,0.0,,15101.185861435197,8377.757001100901,66.57196054041712,-0.7381855295299322,-0.7736887152564371
3M,90,OLS,3582,65.2588510070072,51.30473544802756,58.27981010890812,49.40312546150924,0.7360424028268552,-0.059672908940928096,99.97208263539922,59.03378944428931,-0.7539793353811888,3.4654513001441956e-06,13139.92306897237,7875.587218453705,79.92446404968395,-1.286690033912965,-1.333396659640608
3M,90,Persistence Direction,3582,45.46676888778255,35.83475986837492,53.23620061641916,52.653099353291836,0.5849291221089282,0.05235670329682332,99.63707426018983,58.924068366489216,-5.687867750070055,6.445301188880224e-07,10028.86573111384,5578.618247212622,34.13936479513696,-0.1099837912014292,-0.13265568670564032
3M,90,Random Walk with Drift,3582,43.15546232129752,34.61390380324904,59.03378944428931,50.0,0.7424056189640036,,99.97208263539922,59.03378944428931,0.0,,10291.827347597904,5763.034751207349,39.07234664456162,0.0,-0.020425429347640467
3M,90,VS-LSTM,3582,43.57177095936723,34.539844947545774,52.834403797821835,47.10676832929301,0.6636128261302529,-0.07279948220723709,99.97208263539922,59.03378944428931,-6.199385646467476,8.629061216989604e-18,10163.918073477433,5621.375673461986,33.72937113897635,-0.01938649811117199,-0.040207905006280464
3M,90,Zero Return,3582,42.72136663620042,33.53040145785518,,,,,0.0,,,,9247.745972288456,5228.911745672808,30.79569959956586,0.020016582064892874,0.0
6M,180,ARIMA,3402,70.87203042021393,56.945218149000254,58.230452674897116,49.921141599270904,0.7089903747696089,-0.0018714228732439042,100.0,64.10934744268077,-5.878894767783656,3.6536152479075303e-14,23326.942762028135,12290.222748053353,73.69903900249004,-0.11259129098869214,-0.12046647318381476
6M,180,Adaptive Ensemble,3402,46.87883545426791,33.44313445465919,75.1028806584362,65.31531531531532,0.8373968132079094,0.46970790202836804,100.0,64.10934744268077,10.993533215755434,5.19770488282245e-113,10171.287641229836,5386.129440030319,35.05177109212635,0.5132123683906089,0.5097667713233791
