horizon,horizon_days,model_1,model_2,n,DM_HAC,p_value_HAC,HAC_bandwidth,overlap_warning
1M,30,GLS-LSTM,Historical Median,3702,2.4720034774368616,0.013435820938024312,29,False
1M,30,GLS-LSTM,LSTM,3702,2.471959294073215,0.013437481591179745,29,False
1M,30,GLS-LSTM,Majority Direction,3702,2.4709629845632977,0.013474976559254115,29,False
1M,30,GLS-LSTM,OLS,3702,2.4714892070754924,0.013455161273488336,29,False
1M,30,GLS-LSTM,Persistence Direction,3702,2.471907367029009,0.013439433526183153,29,False
1M,30,GLS-LSTM,Random Walk with Drift,3702,2.4719659316950837,0.013437232101364494,29,False
1M,30,GLS-LSTM,VS-LSTM,3702,2.4718357089740826,0.01344212756036689,29,False
1M,30,GLS-LSTM,Zero Return,3702,2.4719658640788955,0.013437234642849072,29,False
1M,30,Historical Mean,Historical Median,3702,1.3756857191934029,0.16891895513816313,29,False
1M,30,Historical Mean,LSTM,3702,0.13354628960458315,0.8937613582824795,29,False
1M,30,Historical Mean,Majority Direction,3702,-6.774674912102248,1.2468692744960208e-11,29,False
1M,30,Historical Mean,OLS,3702,-5.14124026538814,2.729307628790423e-07,29,False
1M,30,Historical Mean,Persistence Direction,3702,-0.6600734487901209,0.5092066963687765,29,False
1M,30,Historical Mean,Random Walk with Drift,3702,,,29,False
1M,30,Historical Mean,VS-LSTM,3702,-1.6919137937309447,0.09066241157149779,29,False
1M,30,Historical Mean,Zero Return,3702,0.2192514472458297,0.8264541811669932,29,False
1M,30,Historical Median,LSTM,3702,-1.4674202329938026,0.14226177379098437,29,False
1M,30,Historical Median,Majority Direction,3702,-5.802619878619073,6.528668494709677e-09,29,False
1M,30,Historical Median,OLS,3702,-4.430162671132465,9.416203216705554e-06,29,False
1M,30,Historical Median,Persistence Direction,3702,-2.6922190649356765,0.007097830638143288,29,False
1M,30,Historical Median,Random Walk with Drift,3702,-1.3756857191934029,0.16891895513816313,29,False
1M,30,Historical Median,VS-LSTM,3702,-3.1561099730142845,0.0015988856411153218,29,False
1M,30,Historical Median,Zero Return,3702,-0.916489316838705,0.35941030817992314,29,False
1M,30,LSTM,Majority Direction,3702,-5.226382710168202,1.7285838471714499e-07,29,False
1M,30,LSTM,OLS,3702,-3.8292240476023243,0.00012854793682759436,29,False
1M,30,LSTM,Persistence Direction,3702,-1.51371062213042,0.13009924970135467,29,False
1M,30,LSTM,Random Walk with Drift,3702,-0.13354628960458315,0.8937613582824795,29,False
1M,30,LSTM,VS-LSTM,3702,-2.6587130913814137,0.007843972929772569,29,False
1M,30,LSTM,Zero Return,3702,0.24648824934654578,0.8053042995569235,29,False
1M,30,Majority Direction,OLS,3702,4.907582202740793,9.220601331350053e-07,29,False
1M,30,Majority Direction,Persistence Direction,3702,4.64216462310314,3.44777982785871e-06,29,False
1M,30,Majority Direction,Random Walk with Drift,3702,6.774674912102248,1.2468692744960208e-11,29,False
1M,30,Majority Direction,VS-LSTM,3702,4.620277440759565,3.832272364112654e-06,29,False
1M,30,Majority Direction,Zero Return,3702,4.7705190629612515,1.8375179398066877e-06,29,False
1M,30,OLS,Persistence Direction,3702,3.0485219133157853,0.00229970139956559,29,False
1M,30,OLS,Random Walk with Drift,3702,5.14124026538814,2.729307628790423e-07,29,False
