date,active_addresses,transactions,difficulty,hashrate,block_size,transaction_value,avg_transaction_value,price,return_log_pct,return_simple_pct,lag1_price,lag1_return,rolling_vol_7d,rolling_vol_30d,day_of_week,month,year,target_price_t1,target_return_t1
2015-07-09,283452.0,191030.0,49402014931.0,3.6281415323258816e+17,744650.0,1865.0,95.974,269.981,0.5269786382434353,0.5283696129757764,268.562,0.3382961991164602,1.5749326821013694,1.4344196071423692,3,7,2015,281.268,4.095636531882342
2015-07-10,289735.0,192866.0,49402014931.0,3.505725266741023e+17,644364.0,2663.0,62.953,281.268,4.095636531882342,4.180664565284209,269.981,0.5269786382434353,1.9123396184517794,1.5680580197170204,4,7,2015,291.386,3.5340897210366005
2015-07-11,287238.0,186052.0,49650905000.0,3.840293306829556e+17,746400.0,1990.0,46.596,291.386,3.5340897210366005,3.5972808851344906,281.268,4.095636531882342,2.0441510151998,1.6492784325780852,5,7,2015,304.274,4.327976257343863
2015-07-12,284313.0,208550.0,51076366303.0,3.5832958618015763e+17,776777.0,1839.0,12.873,304.274,4.327976257343863,4.422999045939058,291.386,3.5340897210366005,2.2571272747937874,1.7680055550724358,6,7,2015,293.763,-3.5155291456241806
2015-07-13,254591.0,159547.0,51076366303.0,3.502669593265365e+17,717845.0,2468.0,40.582,293.763,-3.5155291456241806,-3.4544522371283803,304.274,4.327976257343863,3.021004088464129,1.941098047587433,0,7,2015,290.261,-1.1992801574923895
2015-07-14,255129.0,122474.0,51076366303.0,3.768444121583056e+17,715924.0,3081.0,99.464,290.261,-1.1992801574923895,-1.1921174552274927,293.763,-3.5155291456241806,2.9662829223508655,1.9735752778784879,1,7,2015,290.258,-0.0010335579025160455
2015-07-15,231269.0,115417.0,51076366303.0,3.723519097225646e+17,662717.0,3193.0,91.77,290.258,-0.0010335579025160455,-0.0010335525613247576,290.261,-1.1992801574923895,2.9846331900261474,1.977726158819839,2,7,2015,282.262,-2.7934465017874643
2015-07-16,243088.0,114253.0,51076366303.0,3.667756848330605e+17,699283.0,3423.0,100.965,282.262,-2.7934465017874643,-2.7547905656347016,290.258,-0.0010335579025160455,3.335892143958424,2.042907695838774,3,7,2015,277.177,-1.817942633609551
2015-07-17,222743.0,116759.0,51076366303.0,3.590297241944868e+17,676519.0,2949.0,67.196,277.177,-1.817942633609551,-1.8015177388383763,282.262,-2.7934465017874643,3.0501358846852873,1.9956034930600042,4,7,2015,277.466,0.1042111867108728
2015-07-18,230088.0,130546.0,51076366303.0,3.937550160473072e+17,654575.0,1888.0,21.602,277.466,0.1042111867108728,0.10426550543514157,277.177,-1.817942633609551,2.589229309072781,1.9796565268914166,5,7,2015,274.834,-0.9531124116314408
2015-07-19,263213.0,120735.0,51076366303.0,3.8058168628921466e+17,639831.0,1658.0,18.328,274.834,-0.9531124116314408,-0.948584691457699,277.466,0.1042111867108728,1.355936161890255,1.9903317586916687,6,7,2015,276.116,0.465378823402574
2015-07-20,248768.0,125102.0,51076366303.0,3.803047168227262e+17,438947.0,2203.0,67.731,276.116,0.465378823402574,0.4664633924478023,274.834,-0.9531124116314408,1.1690038300419259,1.9478920278142098,0,7,2015,278.551,0.8780099204944902
2015-07-21,236628.0,133658.0,51076366303.0,3.59378028650326e+17,535387.0,2194.0,54.738,278.551,0.8780099204944902,0.8818757333874272,276.116,0.465378823402574,1.32869219260239,1.9489234488265963,1,7,2015,276.546,-0.7223994074615265
2015-07-22,236628.0,131105.0,51076366303.0,3.598504926306973e+17,463006.0,2232.0,64.012,276.546,-0.7223994074615265,-0.7197963748110769,278.551,0.8780099204944902,1.3032864880979038,1.958333076875963,2,7,2015,277.064,0.18713540260046102
